Description,AverageCost ,MinCost ,MaxCost ,Occurrences,Total,RowsBelow
Major Burn (TBSA of 60% or more) with Other Skin Procedure,3821.176818,3821.176818,3821.176818,22,84065.89,1
Major Burn (TBSA of 60% or more) with Skin Graft,71977.78,71977.78,71977.78,17,1223622.26,1
Major Burn (TBSA of 60% or more) without Skin Procedure,2131.1004,2131.1004,2131.1004,50,106555.02,1
Major Coronary Artery Bypass Graft with CC Score 0-4,11169.9304,11169.9304,11169.9304,1420,15861301.17,1
Major Coronary Artery Bypass Graft with CC Score 10+,13856.81031,13856.81031,13856.81031,287,3976904.56,1
Major Coronary Artery Bypass Graft with CC Score 5-9,12008.68545,12008.68545,12008.68545,905,10867860.33,1
Major Dental Procedures,863.2624963,678.8698349,1047.655158,38460,26647022.85,2
Major Ear Procedures,1941.890873,1660.916165,2222.86558,3642,6378359.03,2
Major Elbow Procedures for Non-Trauma with CC Score 0-1,3003.20651,3003.20651,3003.20651,2037,6117531.66,1
Major Elbow Procedures for Non-Trauma with CC Score 2+,4298.395071,4298.395071,4298.395071,420,1805325.93,1
Major Elbow Procedures for Trauma,4058.144053,2629.451107,6875.470727,11726,39156516.34,6
Major Endoscopic,2940.049741,2226.94134,3977.048554,17379,41141022.86,3
Major Endoscopic Bladder Procedures with CC Score 0-1,1861.539197,1861.539197,1861.539197,14378,26765210.57,1
Major Endoscopic Bladder Procedures with CC Score 2-4,2248.809038,2248.809038,2248.809038,9005,20250525.39,1
Major Endoscopic Bladder Procedures with CC Score 5-6,3068.462033,3068.462033,3068.462033,1441,4421653.79,1
Major Endoscopic Bladder Procedures with CC Score 7+,5588.516427,5588.516427,5588.516427,932,5208497.31,1
Major Extradural Spinal Procedures with CC Score 0-1,4953.877022,4953.877022,4953.877022,4335,21475056.89,1
Major Extradural Spinal Procedures with CC Score 2-3,6008.487075,6008.487075,6008.487075,1730,10394682.64,1
Major Extradural Spinal Procedures with CC Score 4+,8507.089271,8507.089271,8507.089271,741,6303753.15,1
Major Female Pelvic Peritoneum Adhesion Procedures,2484.740959,2484.740959,2484.740959,3974,9874360.57,1
Major Foot Procedures for Non-Trauma,3676.59333,2736.151091,5459.08177,17536,52461966.34,4
Major Foot Procedures for Trauma,5625.130777,3565.72529,9421.105782,15240,72525887.67,5
Major General Abdominal Procedures,5725.558015,2656.089023,8607.427071,17940,72191172.18,9
Major Hand Procedures for Non-Trauma,2424.083737,2141.316635,2705.65069,12631,30980628.7,3
Major Hand Procedures for Trauma,2825.191779,2126.394818,4389.642849,31212,76282259.72,5
Major Hip Procedures for Non-Trauma,8544.760642,4163.625615,15585.08497,4885,33012354.54,8
Major Hip Procedures for Trauma with CC 0-2,5694.335718,5694.335718,5694.335718,8985,51163606.43,1
Major Hip Procedures for Trauma with CC 12+,12727.28877,12727.28877,12727.28877,660,8400010.59,1
Major Hip Procedures for Trauma with CC 3-5,7000.937864,7000.937864,7000.937864,8100,56707596.7,1
Major Hip Procedures for Trauma with CC 6-8,8655.406511,8655.406511,8655.406511,4480,38776221.17,1
Major Hip Procedures for Trauma with CC 9-11,10439.2734,10439.2734,10439.2734,2006,20941182.45,1
Major Infectious Diseases with Multiple Interventions,14028.91456,14028.91456,14028.91456,57,799648.13,1
Major Infectious Diseases with Single Intervention,5875.861519,5875.861519,5875.861519,158,928386.12,1
Major Infectious Diseases without Interventions,2220.48741,1262.708009,3086.278,2840,5302176.92,3
Major Intracranial Procedures,7992.537084,5410.662536,12073.17077,11771,85738539.79,7
Major Intradural Spinal Procedures,4344.989198,4344.989198,4344.989198,1259,5470341.4,1
Major Knee Procedures for Non-Trauma,4314.585123,2662.804262,7375.279545,27377,83405009.22,5
Major Knee Procedures for Trauma,6802.974036,4317.196017,11452.84543,8538,50844604.39,5
Major Laparoscopic,5846.309021,5294.339474,6436.747342,5527,31066802.46,3
Major Large Intestine Procedures,4441.838657,3092.827834,6095.484003,3791,15125712.81,3
Major Maxillofacial Procedures,4067.712487,3648.434654,4615.660787,2739,10918908.9,3
Major Neck Procedures with CC Score 0-1,3825.646101,3825.646101,3825.646101,2847,10891614.45,1
Major Neck Procedures with CC Score 2+,4925.313179,4925.313179,4925.313179,2158,10628825.84,1
Major Nose Procedures,1594.696081,1594.696081,1594.696081,5874,9367244.78,1
Major Ocular Motility Procedures,1605.083825,1515.810976,1710.020832,6889,11234678.04,3
Major Oculoplastics Procedures,1044.560794,821.1484516,1205.689422,17027,14939794.48,3
Major Open,4805.085326,2035.721571,7300.950535,5102,21399556.54,6
Major Open Bladder Procedures or Reconstruction,5728.327633,3319.064151,7852.127117,1061,5898600.52,3
Major Open Lower Genital Tract Procedures with CC Score 0-2,2708.375944,2708.375944,2708.375944,5131,13896676.97,1
Major Open Lower Genital Tract Procedures with CC Score 3+,3232.047562,3232.047562,3232.047562,841,2718152,1
Major Open Penis Procedures,5453.001703,5453.001703,5453.001703,916,4994949.56,1
Major Open Upper Genital Tract Procedures with CC Score 0-2,3601.418995,3601.418995,3601.418995,21692,78121980.83,1
Major Open Upper Genital Tract Procedures with CC Score 3-4,4605.076265,4605.076265,4605.076265,1869,8606887.54,1
Major Open Upper Genital Tract Procedures with CC Score 5+,6245.390718,6245.390718,6245.390718,571,3566118.1,1
Major Open Urethra Procedures,3136.023983,2819.27882,3763.102178,3740,11795551.34,3
Major Procedures for Congenital Heart Disease with CC Score 0-3,8079.142759,8079.142759,8079.142759,511,4128441.95,1
Major Procedures for Congenital Heart Disease with CC Score 4-8,9774.10661,9774.10661,9774.10661,531,5190050.61,1
Major Procedures for Congenital Heart Disease with CC Score 9+,12784.96655,12784.96655,12784.96655,287,3669285.4,1
Major Robotic,7284.158002,7284.158002,7284.158002,4819,35102357.41,1
Major Shoulder Procedures for Non-Trauma with CC Score 0-1,2757.026942,2757.026942,2757.026942,16545,45615010.76,1
Major Shoulder Procedures for Non-Trauma with CC Score 2-3,2951.649102,2951.649102,2951.649102,3353,9896879.44,1
Major Shoulder Procedures for Non-Trauma with CC Score 4+,3608.268516,3608.268516,3608.268516,869,3135585.34,1
Major Shoulder Procedures for Trauma,4675.739503,2995.335433,7754.559311,6829,26894393.33,5
Major Sinus Procedures,2389.661046,2389.661046,2389.661046,1511,3610777.84,1
Major Skin Procedures,2969.181148,2969.181148,2969.181148,14040,41687303.32,1
Major Small Intestine Procedures,6487.153154,3342.708592,10400.77682,10598,53500367.61,4
Major Spinal Reconstructive Procedures with CC Score 0-1,9751.74785,9751.74785,9751.74785,1349,13155107.85,1
Major Spinal Reconstructive Procedures with CC Score 2-3,11029.76148,11029.76148,11029.76148,615,6783303.31,1
Major Spinal Reconstructive Procedures with CC Score 4+,16064.23606,16064.23606,16064.23606,469,7534126.71,1
Major Surgical Removal of Tooth,927.6043599,647.2487844,1207.959935,53855,37982426.53,2
Major Therapeutic Bronchoscopy,2255.016065,2255.016065,2255.016065,1390,3134472.33,1
Major Therapeutic Endoscopic,1402.569202,810.0137719,1854.045662,19340,18804392.83,5
Major Therapeutic Endoscopic Retrograde Cholangiopancreatography with CC Score 0-1,1649.092506,1649.092506,1649.092506,2490,4106240.34,1
Major Therapeutic Endoscopic Retrograde Cholangiopancreatography with CC Score 2-4,2824.737029,2824.737029,2824.737029,1471,4155188.17,1
Major Therapeutic Endoscopic Retrograde Cholangiopancreatography with CC Score 5+,5921.871072,5921.871072,5921.871072,718,4251903.43,1
Major Thoracic Procedures,5673.169199,2949.286541,7441.916293,4937,22655119.29,5
Major Treatment of Epistaxis,835.2223083,835.2223083,835.2223083,3626,3028516.09,1
Major Vitreous Retinal Procedures,663.6213687,218.885593,1108.357144,45651,10848907.31,2
Malignancy,2301.358298,565.6943278,5033.232305,42462,56789261.15,5
Malignant,4073.794826,912.9789781,11427.59097,40341,93079641.16,14
Malignant Breast Disorders with Interventions,4267.006742,2142.818384,6328.056362,1050,5294327.32,3
Malignant Breast Disorders without Interventions,1263.144586,402.808561,3045.452429,37197,26024782.89,5
Malignant Disorders of Lymphatic or Haematological Systems,1202.697944,485.2736388,1920.122248,5431,5558307.75,2
Malignant Gastrointestinal Tract Disorders with Multiple Interventions,6753.90331,3723.347716,9842.477813,2234,14935487.39,3
Malignant Gastrointestinal Tract Disorders with Single Intervention,3998.779412,2999.619047,5304.31206,7432,29305957.95,3
Malignant Gastrointestinal Tract Disorders without Interventions,2062.419632,961.3577907,3316.597136,57717,89363775.61,4
Malignant Gynaecological Disorders with Interventions,5280.30823,2675.350402,8523.534198,2438,12201019.25,4
Malignant Gynaecological Disorders without Interventions,2397.874629,1001.197037,4496.164333,12526,22456627.73,5
Malignant Lymphoma,3828.49995,816.336831,8837.605352,41289,80772895.2,6
Meckel's Scan,243.6044138,221.4085774,271.794058,407,95193.89,3
Medical Care of Patients with Alzheimer's Disease,3761.442807,3761.442807,3761.442807,7028,26435420.05,1
Medical Care of Patients with Multiple Sclerosis,2061.681891,550.6736865,4669.338774,53162,38548331.69,4
Medical Gases,1638.291584,1638.291584,1638.291584,1130,1851269.49,1
Medical or Surgical Termination of Pregnancy,2139.384345,2139.384345,2139.384345,1802,3855170.59,1
Medical Specialist Palliative Care Attendance,242.3648088,138.4505406,346.2790769,76034,10540457.26,2
Medical Termination of Pregnancy,786.0719672,462.1089122,1110.035022,49970,25122182.77,2
Megaloblastic Anaemia with CC Score 0-3,671.1071895,671.1071895,671.1071895,765,513397,1
Megaloblastic Anaemia with CC Score 4-7,1055.009896,1055.009896,1055.009896,771,813412.63,1
Megaloblastic Anaemia with CC Score 8+,2173.800587,2173.800587,2173.800587,818,1778168.88,1
Metabolic Disorder Drugs,1148.14211,160.9914032,2427.671157,12227,10486155.42,4
Metaiodobenzylguanidine (MIBG) Scan,673.0364872,431.1368768,914.9360976,1097,512628.69,2
Minimal,958.513932,315.394645,1571.321862,15254,7461177.92,3
Minimal Ear Procedures,257.3314071,188.785247,325.8775673,16034,3673921.31,2
Minimal Elbow Procedures for Non-Trauma,196.666479,196.666479,196.666479,34306,6746840.23,1
Minimal Foot Procedures for Non-Trauma,350.9784179,350.9784179,350.9784179,42512,14920794.5,1
Minimal Hand Procedures for Non-Trauma,215.4249981,215.4249981,215.4249981,70317,15148039.59,1
Minimal Hip Procedures for Non-Trauma,437.4612235,321.5753948,558.4201801,36713,19518823.69,3
Minimal Intracranial Procedures,789.1126605,427.6127467,1150.612574,25622,11613500.64,2
Minimal Knee Procedures for Non-Trauma,283.5447387,253.40821,329.2329833,51039,13196899.19,3
Minimal Lower Genital Tract Procedures,232.9665272,232.9665272,232.9665272,166994,38904012.25,1
Minimal Nose Procedures,394.2838033,243.131922,545.4356846,20371,6058969.85,2
Minimal Shoulder Procedures for Non-Trauma,237.8732417,237.8732417,237.8732417,48404,11514016.39,1
Minimal Upper Genital Tract Procedures,170.2357739,170.2357739,170.2357739,173625,29557186.24,1
Minor,1072.539071,164.6154785,3577.303623,155851,91839648.83,15
Minor Anal Procedures,759.2298088,628.4461446,890.0134729,37799,23904513.9,2
Minor Bladder Procedures,484.5816736,349.8179846,619.3453626,136972,48301771.24,2
Minor Burn (TBSA of less than 20%) with Other Skin Procedure,1849.373925,1849.373925,1849.373925,3699,6840834.15,1
Minor Burn (TBSA of less than 20%) with Skin Graft,7644.45228,7644.45228,7644.45228,1697,12972635.52,1
Minor Burn (TBSA of less than 20%) without Skin Procedure,2080.075374,2080.075374,2080.075374,4581,9528825.29,1
Minor Dental Biopsy,256.7162625,256.7162625,256.7162625,4206,1079748.6,1
Minor Dental Procedures,146.1246049,127.0070059,165.2422039,311282,45251539.26,2
Minor Dental Restoration Procedures,274.3975978,254.1667926,294.6284031,25634,6928303.22,2
Minor Ear Procedures,237.2948361,148.851755,325.7379172,63123,11246552.36,2
Minor Elbow Procedures for Non-Trauma,983.2745779,983.2745779,983.2745779,7403,7279181.7,1
Minor Elbow Procedures for Trauma,1896.231845,1896.231845,1896.231845,309,585935.64,1
Minor Extraction of Tooth,327.336915,216.3476076,438.3262223,42830,10941440.64,2
Minor Extradural Spinal Procedures,342.4389758,342.4389758,342.4389758,11111,3804839.46,1
Minor Foot Procedures for Non-Trauma,641.9330386,530.5402223,753.325855,28816,20835854.87,2
Minor Foot Procedures for Trauma,1802.670758,1802.670758,1802.670758,264,475905.08,1
Minor Hand Procedures for Non-Trauma,837.6503109,636.2637033,1037.908684,75051,62547608.4,3
Minor Hand Procedures for Trauma,1636.28218,1636.28218,1636.28218,1399,2289158.77,1
Minor Hip Procedures for Non-Trauma,825.3560439,611.675696,1039.036392,10324,6797002.75,2
Minor Hip Procedures for Trauma,2341.713176,2341.713176,2341.713176,148,346573.55,1
Minor Intracranial Procedures,1500.832193,664.0123163,2419.746726,4093,4274342.69,3
Minor Knee Procedures for Non-Trauma,682.8110017,511.4880901,854.1339132,31402,17056449.83,2
Minor Knee Procedures for Trauma,2262.72103,2262.72103,2262.72103,427,966181.88,1
Minor Lower Genital Tract Procedures,908.5188063,908.5188063,908.5188063,14484,13158986.39,1
Minor Maxillofacial Procedures,1001.0335,1001.0335,1001.0335,4814,4818975.27,1
Minor Neck Procedures,1350.304111,1057.464159,1643.144064,11181,12155001.59,2
Minor Nose Procedures,387.6490513,303.4475535,471.8505491,19116,6223900.16,2
Minor Ocular Motility Procedures,740.3674839,295.4091014,1185.325866,3514,1531081.47,2
Minor Oculoplastics Procedures,497.10883,261.2602477,732.9574123,29851,8471519.81,2
Minor or Intermediate,2866.167491,885.0595128,5796.840279,20413,20172228.94,4
Minor Penis Procedures,1305.352139,1187.49716,1433.07065,31635,38852974.56,3
Minor Procedures for Congenital Heart Disease with CC Score 0-3,4528.615537,4528.615537,4528.615537,1407,6371762.06,1
Minor Procedures for Congenital Heart Disease with CC Score 4+,5638.041592,5638.041592,5638.041592,961,5418157.97,1
Minor Prostate or Bladder Neck Procedures (Male),631.9317081,631.9317081,631.9317081,966,610446.03,1
Minor Shoulder Procedures for Non-Trauma,637.8193722,637.8193722,637.8193722,20963,13370607.5,1
Minor Shoulder Procedures for Trauma,2657.146076,2657.146076,2657.146076,395,1049572.7,1
Minor Sinus Procedures,588.4323516,588.4323516,588.4323516,6417,3775970.4,1
Minor Skin Procedures,262.572995,218.385084,306.760906,1365215,303979727.1,2
Minor Therapeutic or Diagnostic,1131.057295,872.4223751,1389.692215,32731,28877515.87,2
Minor Thoracic Procedures,1036.637204,1036.637204,1036.637204,2017,2090897.24,1
Minor Treatment of Epistaxis,328.1480335,278.3472102,377.9488568,30791,10768797.29,2
Minor Upper Genital Tract Procedures,947.5241537,947.5241537,947.5241537,7249,6868602.59,1
Minor Vitreous Retinal Procedures,220.4492801,101.3664546,393.7386586,322821,34646882.91,3
Miscellaneous Urinary Tract Findings with CC Score 0-1,582.8228234,582.8228234,582.8228234,2791,1626658.5,1
Miscellaneous Urinary Tract Findings with CC Score 2-4,1096.834756,1096.834756,1096.834756,1909,2093857.55,1
Miscellaneous Urinary Tract Findings with CC Score 5+,1960.929669,1960.929669,1960.929669,1299,2547247.64,1
Monoclonal Antibodies,1179.675743,1055.898312,1303.453173,93574,104297128.3,2
Motor Neuron Disease with CC Score 0-1,1275.853464,1275.853464,1275.853464,716,913511.08,1
Motor Neuron Disease with CC Score 2-4,2082.22112,2082.22112,2082.22112,1125,2342498.76,1
Motor Neuron Disease with CC Score 5-7,2958.163995,2958.163995,2958.163995,811,2399071,1
Motor Neuron Disease with CC Score 8+,4699.993149,4699.993149,4699.993149,851,3999694.17,1
Mucolytic Drugs,699.4177728,699.4177728,699.4177728,7826,5473643.49,1
Multi Gated Acquisition (MUGA) Scan,204.7760917,204.7760917,204.7760917,8459,1732200.96,1
Multi-Organ and Multiple Transplants,24855.82971,24855.82971,24855.82971,175,4349770.2,1
Multiple,9933.507198,6335.234613,13531.77978,562,5561041.41,2
Multiple Major Skin Procedures,3832.255832,3832.255832,3832.255832,1298,4974268.07,1
Multiple Open Procedures,8348.46053,6422.729483,11306.98967,722,5966008.51,3
Multiple Open Procedures on Blood Vessels of Lower Limbs with CC Score 0-3,7487.973943,7487.973943,7487.973943,941,7046183.48,1
Multiple Open Procedures on Blood Vessels of Lower Limbs with CC Score 11+,15913.40383,15913.40383,15913.40383,313,4980895.4,1
Multiple Open Procedures on Blood Vessels of Lower Limbs with CC Score 4-6,9111.685376,9111.685376,9111.685376,958,8728994.59,1
Multiple Open Procedures on Blood Vessels of Lower Limbs with CC Score 7-10,11377.44344,11377.44344,11377.44344,547,6223461.56,1
Multiple or Revisional,10321.01876,7759.276714,12882.7608,523,5661752.24,2
Multiple Trauma with Diagnosis Score <=23,5150.445676,1179.275803,9625.692683,16134,36020533.06,6
Multiple Trauma with Diagnosis Score >=51,11309.63469,4156.202569,19324.92902,22712,145799170.2,6
Multiple Trauma with Diagnosis Score 24-32,6529.347962,1720.757887,12755.34,14022,40105588.3,6
Multiple Trauma with Diagnosis Score 33-50,7612.193075,2415.008576,13301.12754,22519,84507044.88,6
Multiprofessional Non-Admitted Face to Face Attendance,0,0,0,0,0,2
Multiprofessional Non-Admitted Non Face to Face Attendance,0,0,0,0,0,2
Muscular,2337.569998,693.9895821,5725.875371,208309,267953345.7,6
Musculoskeletal Signs or Symptoms,1356.675682,700.9440101,2156.371734,41714,43302639.96,4
Myelodysplastic Syndrome Drugs,740.3736462,740.3736462,740.3736462,13447,9955804.42,1
Myelodysplastic Syndrome with CC Score 0-1,375.8001257,375.8001257,375.8001257,9070,3408507.14,1
Myelodysplastic Syndrome with CC Score 2-4,551.8346332,551.8346332,551.8346332,6188,3414752.71,1
Myelodysplastic Syndrome with CC Score 5-7,1454.069321,1454.069321,1454.069321,1901,2764185.78,1
Myelodysplastic Syndrome with CC Score 8+,4197.52272,4197.52272,4197.52272,1577,6619493.33,1
Myeloproliferative Disorder with CC Score 0-3,294.3578126,294.3578126,294.3578126,30648,9021478.24,1
Myeloproliferative Disorder with CC Score 4-6,644.0573479,644.0573479,644.0573479,2926,1884511.8,1
Myeloproliferative Disorder with CC Score 7+,3300.19712,3300.19712,3300.19712,993,3277095.74,1
Myocardial Perfusion Scan,312.5908196,276.2066273,348.975012,56903,17294749.83,2
Myocardial Positron Emission Tomography,501.2069289,501.2069289,501.2069289,1449,726248.84,1
Nasal Polypectomy,1606.340522,1606.340522,1606.340522,2566,4121869.78,1
Neonatal Critical Care,743.3733802,383.6370592,1217.629943,1116842,765011053.2,6
Neonatal Diagnoses (Admitted from Home),2102.304485,578.977465,6163.915217,51920,48490413.61,12
Neonatal Diagnoses (Admitted from Other Hospital Provider),2440.149118,1136.103078,4122.547832,6498,15141246.22,3
Neonatal Diagnoses (Admitted from Other Location or Born in Hospital),1542.694436,895.6808459,2654.553761,100540,112875567.4,4
Nerve Block or Destruction of Nerve,637.7652193,637.7652193,637.7652193,17441,11123263.19,1
Neurodegenerative Condition Drugs,43.22861251,43.22861251,43.22861251,4382,189427.78,1
Neuromuscular Disorder Drugs Band 1,3075.400357,3075.400357,3075.400357,28,86111.21,1
Neuropsychology Tests,494.5986317,494.5986317,494.5986317,1871,925394.04,1
Neutropenia Drugs,117.3721716,117.3721716,117.3721716,120859,14185483.29,1
Non-Admitted Face to Face Attendance,0,0,0,0,0,2
Non-Admitted Non-Face to Face Attendance,0,0,0,0,0,2
Non-Inflammatory,2116.497169,706.2562654,4155.891359,57485,76516172.55,5
Non-Interventional Congenital Cardiac Conditions with CC Score 0-2,1116.896163,1116.896163,1116.896163,886,989570,1
Non-Interventional Congenital Cardiac Conditions with CC Score 3+,1962.916706,1962.916706,1962.916706,762,1495742.53,1
Non-Invasive Ventilation Support Assessment,953.0600623,390.4941004,1515.626024,56402,31510635.5,2
Non-Malignant,3005.864483,518.2601753,8251.581816,394102,529108617.4,16
Non-Malignant Breast Disorders with Interventions,2753.756747,2753.756747,2753.756747,578,1591671.4,1
Non-Malignant Breast Disorders without Interventions,926.8309445,552.6941718,1300.967717,4057,2612675.66,2
Non-Malignant Gastrointestinal Tract Disorders with Multiple Interventions,6574.00151,3869.473963,10099.52934,8944,52950145.01,4
Non-Malignant Gastrointestinal Tract Disorders with Single Intervention,4005.179189,2752.905127,5969.70414,34493,114965412.6,4
Non-Malignant Gastrointestinal Tract Disorders without Interventions,1965.306935,879.6602241,3381.774846,315980,368583854.6,4
Non-Malignant Gynaecological Disorders with Interventions,3561.385438,2704.128539,4638.29895,8000,23120983.24,3
Non-Malignant Gynaecological Disorders without Interventions,1539.454007,789.1299319,2460.521783,40622,35972141.69,3
Non-Malignant Prostate Disorders with Interventions,2531.996964,2153.5611,2910.432827,2014,5084304.45,2
Non-Malignant Prostate Disorders without Interventions,1214.053485,686.2897899,1814.768331,4308,4268110.69,3
Non-Medical Specialist Palliative Care Attendance,139.5865723,75.938854,203.2342907,160071,13112106.21,2
Non-Obstructive Jaundice with CC Score 0-4,917.7561228,917.7561228,917.7561228,3193,2930395.3,1
Non-Obstructive Jaundice with CC Score 5+,1434.081364,1434.081364,1434.081364,572,820294.54,1
Non-Pituitary Neoplasia or Hypoplasia,1982.353286,1152.210147,3189.496058,7112,11324561.24,3
Non-Surgical Ophthalmology with Interventions,3787.849483,3787.849483,3787.849483,1005,3806788.73,1
Non-Surgical Ophthalmology without Interventions,1312.88586,716.2248369,2070.668295,29435,26697974.67,3
Non-Surgical Thyroid Disorders with CC Score 0-1,543.6315688,543.6315688,543.6315688,3952,2148431.96,1
Non-Surgical Thyroid Disorders with CC Score 2-3,1083.883549,1083.883549,1083.883549,1175,1273563.17,1
Non-Surgical Thyroid Disorders with CC Score 4+,2709.734147,2709.734147,2709.734147,1184,3208325.23,1
Normal Delivery,3048.74055,2149.356726,4094.172317,183054,466328294.2,12
Normal Delivery with CC Score 0,1643.008874,1643.008874,1643.008874,158743,260816157.7,1
Normal Delivery with CC Score 1,1861.716135,1861.716135,1861.716135,28383,52841089.06,1
Normal Delivery with CC Score 2+,2023.335277,2023.335277,2023.335277,16619,33625808.97,1
Nuclear Bone Scan of other phases,215.5971503,200.0040692,235.2540182,80747,16182052,3
Nuclear Bone Scan of two or three phases,147.7489665,51.35672916,244.1412038,54711,11763460.15,2
Nuclear Cystography,287.0103061,263.3044167,304.2296526,1053,309754.41,3
Nuclear Medicine Infection or White Cell Scan,204.0421145,204.0421145,204.0421145,15829,3229782.63,1
Nutritional Disorders with Interventions,4560.925698,2830.112189,6291.739207,908,4795568.04,2
Nutritional Disorders without Interventions,1666.330089,894.0225676,2553.162209,13098,18039669.9,3
Observation or Counselling,611.084242,478.14631,744.0221739,11543,6051260.46,2
Octreotide Scan,744.6000559,744.6000559,744.6000559,1430,1064778.08,1
Oocyte Recovery,1974.005709,1974.005709,1974.005709,7294,14398397.64,1
Oocyte Recovery with Intracytoplasmic Sperm Injection,2507.159338,2507.159338,2507.159338,1525,3823417.99,1
Oocyte Recovery with Pre-Implantation Genetic Diagnosis,4987.948108,4987.948108,4987.948108,74,369108.16,1
Open Arteriovenous Fistula,2011.487931,2011.487931,2011.487931,8519,17135865.68,1
Open Cholecystectomy,4603.221944,3194.917213,6256.844184,3850,15703931.33,3
Open Operations,1897.209066,436.0318219,3358.38631,6508,4532660.7,2
Open or Laparoscopic,3254.305194,3254.305194,3254.305194,593,1929802.98,1
Open Repair of Abdominal Aortic Aneurysm with CC Score 0-5,6120.63281,6120.63281,6120.63281,943,5771756.74,1
Open Repair of Abdominal Aortic Aneurysm with CC Score 6+,8520.340526,8520.340526,8520.340526,532,4532821.16,1
Open Repair of Thoracoabdominal Aortic Aneurysm,7927.184354,7927.184354,7927.184354,209,1656781.53,1
Open Treatment of,2122.834716,2122.834716,2122.834716,1374,2916774.9,1
Open Treatment of Primary Unilateral Varicose Veins,1727.628409,1727.628409,1727.628409,5689,9828478.02,1
Open Treatment of Recurrent Unilateral Varicose Veins,1981.227756,1981.227756,1981.227756,664,1315535.23,1
Oral Delivery of Radiotherapy for Thyroid Ablation,422.5296282,422.5296282,422.5296282,2905,1227448.57,1
Other Acquired Cardiac Conditions with CC Score 0-2,831.2255722,831.2255722,831.2255722,16437,13662854.73,1
Other Acquired Cardiac Conditions with CC Score 13+,3864.578331,3864.578331,3864.578331,3955,15284407.3,1
Other Acquired Cardiac Conditions with CC Score 3-5,1364.539105,1364.539105,1364.539105,20043,27349457.28,1
Other Acquired Cardiac Conditions with CC Score 6-8,1819.097625,1819.097625,1819.097625,16954,30840981.14,1
Other Acquired Cardiac Conditions with CC Score 9-12,2573.148309,2573.148309,2573.148309,12991,33427769.68,1
Other Brachytherapy Preparation,731.8655072,731.8655072,731.8655072,207,151496.16,1
Other Burn with Other Skin Procedure,255.7363146,255.7363146,255.7363146,19949,5101683.74,1
Other Burn with Skin Graft,5081.178545,5081.178545,5081.178545,213,1082291.03,1
Other Burn without Skin Procedure,2165.173061,2165.173061,2165.173061,5368,11622648.99,1
Other Complications of,3230.396633,1896.091024,5295.914109,6457,16978488.54,4
Other Disorders of Immunity,437.0249585,437.0249585,437.0249585,28166,12309244.98,1
Other Endocrine Disorders with CC Score 0-1,635.6075709,635.6075709,635.6075709,4940,3139901.4,1
Other Endocrine Disorders with CC Score 2-3,933.2616632,933.2616632,933.2616632,2399,2238894.73,1
Other Endocrine Disorders with CC Score 4+,2027.118749,2027.118749,2027.118749,1823,3695437.48,1
Other External Beam Radiotherapy Preparation,446.7840832,446.7840832,446.7840832,769,343576.96,1
Other Haematological or Splenic Disorders,1431.393892,675.1348804,2419.572489,6650,7600291.49,3
Other Injury,1490.341851,589.1886897,2933.840447,11060,10825584.44,5
Other Injury of Arm with Interventions,3009.569299,2251.335498,3767.803099,1759,4801738.66,2
Other Injury of Arm without Interventions,1079.060442,584.810776,1682.332831,14724,13285136.42,4
Other Injury of Foot with Interventions,3279.165139,2505.801809,4052.528468,736,2187643.45,2
Other Injury of Foot without Intervention,1190.161019,1190.161019,1190.161019,1089,1296085.35,1
Other Injury of Foot without Interventions,731.1634458,621.7813902,840.5455014,3205,2221855.38,2
Other Injury of Hand with Interventions,2433.279083,2042.625378,2823.932787,4026,8767399.73,2
Other Injury of Hand without Interventions,721.0900435,466.5565429,1060.328152,10448,5855077.28,3
Other Injury of Hip with Interventions,4349.452802,3128.409825,5570.495778,847,3465419.83,2
Other Injury of Hip without Interventions,1292.190733,837.8816331,1847.996979,9205,10215457,3
Other Injury of Knee with Multiple Interventions,6003.830882,3447.48137,8647.788423,1487,7433943.76,3
Other Injury of Knee with Single Intervention,3723.182858,2551.951313,4838.183121,1507,5055880.01,3
Other Injury of Knee without Interventions,1471.687816,732.6195965,2445.256482,15368,15998488.09,4
Other Muscle,259.1352511,259.1352511,259.1352511,74150,19214878.87,1
Other or Unspecified Neoplasm,3356.842224,1312.385132,5588.061632,8012,18526420.29,4
Other Percutaneous Diagnostic,997.4198851,997.4198851,997.4198851,696,694204.24,1
Other Percutaneous Therapeutic,5105.59209,2721.883214,7489.300967,773,3534241.05,2
Other Percutaneous Urinary Tract Procedures,265.1167018,265.1167018,265.1167018,285,75558.26,1
Other Radiotherapy Treatment,616.9301936,616.9301936,616.9301936,5991,3696028.79,1
Other Red Blood Cell Disorders with CC Score 0-1,472.8180179,472.8180179,472.8180179,9853,4658675.93,1
Other Red Blood Cell Disorders with CC Score 10-13,1581.530723,1581.530723,1581.530723,4580,7243410.71,1
Other Red Blood Cell Disorders with CC Score 14+,2569.420053,2569.420053,2569.420053,2067,5310991.25,1
Other Red Blood Cell Disorders with CC Score 2-5,627.4905511,627.4905511,627.4905511,17310,10861861.44,1
Other Red Blood Cell Disorders with CC Score 6-9,963.9360164,963.9360164,963.9360164,11000,10603296.18,1
Other Respiratory Disorders with Multiple Interventions,4967.41352,4967.41352,4967.41352,321,1594539.74,1
Other Respiratory Disorders with Single Intervention,2052.987279,1467.366937,2638.607621,2820,5176865.25,2
